ID,LEARNING CENTER,BRANCH SCHOOL,TUTOR,HEAD TEACHER,ONLINE,OFFLINE
88,S V Defence Academy,SREEDHAR'S CCE,1,2,5,1
89,Akshara High School,C L CAREER LAUNCHER,1,2,1,3
90,S V Defence Academy,KARTHIK INSTITUTE OF POLICE COACHING,4,3,3,3
91,Academic Heights Public School - AHPS,SREEDHAR'S CCE,1,1,1,3
92,Sri Chaitanya Junior College ,DAMS SKY,4,4,1,5
93,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ROLLER SPORTS COACHING CENTRE,2,1,5,6
94,Akshara High School,DAMS SKY,4,1,2,6
95,Ashwamedha Junior College & Neet Medical Academy ,EMINENT COACHING CENTRE,4,3,4,1
96,Sri Chaitanya Junior College ,BANKERS ADD,4,3,3,3
97,S V Defence Academy,EMINENT COACHING CENTRE,2,4,2,6
98,Narayana Junior College,ROLLER SPORTS COACHING CENTRE,1,1,5,1
99,Anu Vocational Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,2,4,1,6
100,Accord School,DAMS SKY,1,1,3,5
101,Anjali Junior College,BANKERS ADD,1,3,5,6
102,Narayana Junior College,MAHENDRA EDUCATIONAL PVT LTD,3,3,1,4
103,Sri Chaitanya Junior College ,POORNASAI COACHING,4,2,2,6
104,Alpha Gamma Sigma Junior College,VIGNESH COACHING CENTRE,2,2,5,1
105,Anjali Junior College,GURU SAI COACHING CENTER,1,4,4,5
106,Narayana Junior College,ACE ENGINEERING ACADEMY,4,2,4,3
107,Alpha Gamma Sigma Junior College,SKILL WORLD COMPUTERS,1,1,3,4
108,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,NIIT,2,2,4,2
109,Narayana Junior College,ROLLER SPORTS COACHING CENTRE,2,4,1,6
110,Arunodaya High School,JB INSTITUTE FOR COMPETITVE EXAMS,1,3,2,4
111,Narayana Junior College,ACADEMY OF MATHEMATICS AND STATISTICS,2,2,2,3
112,Sri Chaitanya Junior College ,VIVEK COACHING CENTRE,1,4,2,2
113,Accord School,EMINENT COACHING CENTRE,3,3,2,2
114,Accord School,SRI VISWAM COACHING CENTRE,2,3,2,5
115,S V Defence Academy,ACE ENGINEERING ACADEMY,4,2,3,1
116,Ashwamedha Junior College & Neet Medical Academy ,BANKER'S ADDA,2,3,4,1
117,Anu Vocational Junior College,SRI VISWAM COACHING CENTRE,1,1,4,4
118,Akshra English Medium School,CAREER LAUNCHER,4,3,1,4
119,Alpha Gamma Sigma Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,1,4,6
120,Akshara High School,ANALYST IAS ACADEMY,4,2,3,6
121,SDHR Junior & Degree & Pg College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,4,3,4
122,Arunodaya High School,BANKER'S ADDA,2,3,1,2
123,Sri Chaitanya Junior College ,SREEDHAR'S CCE,3,4,1,2
124,Nri Academy,SRI VISWAM COACHING CENTRE,4,3,5,2
125,Anu Vocational Junior College,MY CAREER POINT,1,2,2,4
126,Arunodaya High School,JB INSTITUTE FOR COMPETITVE EXAMS,3,1,3,2
127,Akshra English Medium School,KSRM COACHING CENTER,3,2,1,3
128,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,MAHENDRA EDUCATIONAL PVT LTD,4,4,4,4
129,Accord School,NIIT,1,3,5,5
130,Alpha Gamma Sigma Junior College,BANKER'S ADDA,2,1,4,6
131,SDHR Junior & Degree & Pg College ,C L CAREER LAUNCHER,2,3,3,1
132,Nri Academy,POORNASAI COACHING,3,4,2,6
133,Ashwamedha Junior College & Neet Medical Academy ,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,2,2,3
134,Sri Chaitanya Junior College ,SHINE IAS STUDY CIRCLE,4,2,3,5
135,Sri Chaitanya Junior College ,SAIMEDHA EDUCATIONAL INSTITUTE,2,2,3,1
136,Sri Chaitanya Junior College ,KARTHIK INSTITUTE OF POLICE COACHING,4,4,5,4
137,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SHINE IAS STUDY CIRCLE,3,1,5,5
138,Narayana Junior College,BANKERS ADD,4,1,5,1
139,Sri Padmavathi Women's Junior College ,TALENTSPRINT PVT. LTD,4,1,2,5
140,Sri Padmavathi Women's Junior College ,GURU SAI COACHING CENTER,2,4,3,6
141,Narayana Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,3,2,3,6
142,Accord School,MY CAREER POINT,4,3,2,1
143,Alpha Gamma Sigma Junior College,SKILL WORLD COMPUTERS,2,1,2,5
144,Anu Vocational Junior College,SAIMEDHA GATE COACHING CENTER,2,3,5,2
145,Sri Chaitanya Junior College ,SAIMEDHA EDUCATIONAL INSTITUTE,4,1,1,4
146,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ACADEMY OF MATHEMATICS AND STATISTICS,1,1,5,5
147,S V Defence Academy,BANKER'S ADDA,2,4,1,2
148,Sri Chaitanya Junior College ,POORNASAI COACHING,1,3,4,5
149,S V Defence Academy,CAREER LAUNCHER,4,3,4,3
150,SDHR Junior & Degree & Pg College ,MAHENDRA EDUCATIONAL PVT LTD,4,3,5,3
151,Anjali Junior College,BHARATH DEFENCE COACHING CENTRE,2,4,4,1
152,Anu Vocational Junior College,SHINE IAS STUDY CIRCLE,4,4,1,2
153,Sri Padmavathi Women's Junior College ,MY CAREER POINT,4,4,1,2
154,Accord School,BANKERS ADD,4,4,1,3
155,Anu Vocational Junior College,CAREER LAUNCHER,1,3,5,4
156,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,KARTHIK INSTITUTE OF POLICE COACHING,1,1,1,4
157,Anjali Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,3,2,6
158,Ashwamedha Junior College & Neet Medical Academy ,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,2,2,3
159,Academic Heights Public School - AHPS,SAIMEDHA EDUCATIONAL INSTITUTE,4,4,4,1
160,Nri Academy,BHARATH DEFENCE COACHING CENTRE,2,2,1,6
161,Sri Padmavathi Women's Junior College ,SRI KRISHNAVENI COACHING CENTRE,4,2,4,6
162,Nri Academy,ANALYST IAS ACADEMY,4,1,1,1
163,Alpha Gamma Sigma Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,4,4,5
164,Alpha Gamma Sigma Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,1,4,4
165,Nri Academy,MAHENDRA EDUCATIONAL PVT LTD,4,4,4,2
166,Sri Padmavathi Women's Junior College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,2,3,5
167,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,2,1,2
168,Accord School,ROLLER SPORTS COACHING CENTRE,4,2,3,6
169,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ANALYST IAS ACADEMY,4,3,4,6
170,Sri Padmavathi Women's Junior College ,SHINE IAS STUDY CIRCLE,2,4,1,1
171,Alpha Gamma Sigma Junior College,SKILL WORLD COMPUTERS,3,3,1,4
172,Accord School,MAHENDRA EDUCATIONAL PVT LTD,4,2,2,3
173,SDHR Junior & Degree & Pg College ,GURU SAI COACHING CENTER,4,4,2,1
174,Alpha Gamma Sigma Junior College,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,3,3,4
175,Anu Vocational Junior College,VIGNESH COACHING CENTRE,4,3,4,5
176,Accord School,VIGNESH COACHING CENTRE,4,4,2,2
177,Akshara High School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,1,3,1
178,Arunodaya High School,SRI VISWAM COACHING CENTRE,4,3,2,2
179,S V Defence Academy,KSRM COACHING CENTER,2,3,1,4
180,Anjali Junior College,SKILL WORLD COMPUTERS,3,2,2,4
181,Akshara High School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,1,4,3,2
182,Akshra English Medium School,DAMS SKY,1,3,2,1
183,S V Defence Academy,SRI KRISHNAVENI COACHING CENTRE,3,4,2,4
184,Alpha Gamma Sigma Junior College,BANKERS ADD,4,1,1,6
185,Anjali Junior College,SHINE IAS STUDY CIRCLE,2,1,5,1
186,Ashwamedha Junior College & Neet Medical Academy ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,1,3,4
187,Sri Padmavathi Women's Junior College ,GURU SAI COACHING CENTER,2,1,3,3
188,Akshra English Medium School,ACADEMY OF MATHEMATICS AND STATISTICS,3,3,1,3
189,Akshra English Medium School,ROLLER SPORTS COACHING CENTRE,4,3,2,4
190,Accord School,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,1,2,6
191,Academic Heights Public School - AHPS,POORNASAI COACHING,4,4,3,2
192,Arunodaya High School,SAIMEDHA EDUCATIONAL INSTITUTE,1,1,4,5
193,Anjali Junior College,C L CAREER LAUNCHER,2,2,1,3
194,Arunodaya High School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,2,2,5
195,Accord School,C L CAREER LAUNCHER,4,3,4,1
196,Anjali Junior College,POORNASAI COACHING,2,4,2,4
197,Akshra English Medium School,SAIMEDHA EDUCATIONAL INSTITUTE,4,2,3,2
198,Anu Vocational Junior College,PANDITHA SUDHA COACHING CENTRE,2,4,3,3
199,Accord School,KSRM COACHING CENTER,4,2,2,2
200,Akshra English Medium School,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,2,4,3
201,S V Defence Academy,BHARATH DEFENCE COACHING CENTRE,2,3,1,1
202,Alpha Gamma Sigma Junior College,POORNASAI COACHING,4,1,2,3
203,Anu Vocational Junior College,EMINENT COACHING CENTRE,4,3,5,5
204,Nri Academy,MY CAREER POINT,4,2,5,5
205,Nri Academy,VIGNESH COACHING CENTRE,2,4,5,6
206,Sri Padmavathi Women's Junior College ,SHINE IAS STUDY CIRCLE,3,2,3,2
207,Akshara High School,SRI VISWAM COACHING CENTRE,4,4,5,5
208,Narayana Junior College,ROLLER SPORTS COACHING CENTRE,2,1,5,2
209,SDHR Junior & Degree & Pg College ,Sheker'S IAS Study Circle,4,4,4,1
210,Narayana Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,2,3,5,2
211,Ashwamedha Junior College & Neet Medical Academy ,ACADEMY OF MATHEMATICS AND STATISTICS,4,4,1,6
212,Anu Vocational Junior College,Sheker'S IAS Study Circle,4,3,5,1
213,Alpha Gamma Sigma Junior College,MAHENDRA EDUCATIONAL PVT LTD,4,4,5,2
214,Anu Vocational Junior College,ANALYST IAS ACADEMY,3,4,4,5
215,Accord School,NIIT,1,4,3,2
216,Akshara High School,PANDITHA SUDHA COACHING CENTRE,4,4,3,1
217,Alpha Gamma Sigma Junior College,TALENTSPRINT PVT. LTD,4,4,1,1
218,Sri Padmavathi Women's Junior College ,EMINENT COACHING CENTRE,4,4,3,3
219,Ashwamedha Junior College & Neet Medical Academy ,SREEDHAR'S CCE,3,1,3,3
220,Akshara High School,ACE ENGINEERING ACADEMY,3,4,4,1
221,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,MAHENDRA EDUCATIONAL PVT LTD,3,2,2,2
222,Alpha Gamma Sigma Junior College,ANALYST IAS ACADEMY,4,2,4,6
223,Sri Chaitanya Junior College ,TALENTSPRINT PVT. LTD,4,1,4,4
224,Arunodaya High School,VIGNESH COACHING CENTRE,3,3,3,5
225,Akshra English Medium School,JB INSTITUTE FOR COMPETITVE EXAMS,3,3,3,4
226,Anu Vocational Junior College,MY CAREER POINT,2,2,4,5
227,Akshara High School,IGNITE ACADEMY,3,4,4,2
228,Arunodaya High School,ACE ENGINEERING ACADEMY,3,1,2,2
229,Arunodaya High School,IGNITE ACADEMY,4,2,1,1
230,SDHR Junior & Degree & Pg College ,SAIMEDHA EDUCATIONAL INSTITUTE,2,1,2,3
231,Academic Heights Public School - AHPS,SRI VISWAM COACHING CENTRE,2,3,2,5
232,Anjali Junior College,SAIMEDHA GATE COACHING CENTER,4,3,2,4
233,Narayana Junior College,POORNASAI COACHING,1,2,1,3
234,Accord School,TALENTSPRINT PVT. LTD,4,1,5,4
235,Sri Padmavathi Women's Junior College ,BHARATH DEFENCE COACHING CENTRE,2,3,3,1
236,Ashwamedha Junior College & Neet Medical Academy ,JB INSTITUTE FOR COMPETITVE EXAMS,3,4,2,2
237,Sri Chaitanya Junior College ,ACE ENGINEERING ACADEMY,1,4,3,4
238,Akshra English Medium School,KARTHIK INSTITUTE OF POLICE COACHING,4,1,5,3
239,Ashwamedha Junior College & Neet Medical Academy ,CAREER LAUNCHER,2,4,5,5
240,Alpha Gamma Sigma Junior College,DAMS SKY,1,3,5,5
241,SDHR Junior & Degree & Pg College ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,1,3,3
242,Sri Padmavathi Women's Junior College ,DAMS SKY,1,4,1,4
243,Anjali Junior College,SREEDHAR'S CCE,2,4,3,3
244,Sri Padmavathi Women's Junior College ,SREEDHAR'S CCE,2,3,5,6
245,Akshra English Medium School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,1,3,2
246,SDHR Junior & Degree & Pg College ,SAIMEDHA GATE COACHING CENTER,2,2,5,1
247,Narayana Junior College,NIIT,1,3,2,1
248,Nri Academy,DAMS SKY,2,4,1,6
249,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SRI KRISHNAVENI COACHING CENTRE,2,4,5,5
250,Sri Chaitanya Junior College ,SREEDHAR'S CCE,2,1,2,5
251,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,TALENTSPRINT PVT. LTD,2,2,5,5
252,Sri Chaitanya Junior College ,SAIMEDHA GATE COACHING CENTER,2,4,1,5
253,Anjali Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,2,1,3
254,Narayana Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,4,4,2,5
255,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,BHARATH DEFENCE COACHING CENTRE,4,2,4,6
256,SDHR Junior & Degree & Pg College ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,2,5,5
257,Academic Heights Public School - AHPS,GURU SAI COACHING CENTER,3,3,2,5
258,Akshara High School,KSRM COACHING CENTER,2,1,5,2
259,Narayana Junior College,BANKERS ADD,2,3,3,3
260,Sri Chaitanya Junior College ,BANKER'S ADDA,4,3,2,2
261,Ashwamedha Junior College & Neet Medical Academy ,BANKER'S ADDA,3,3,1,6
262,Anu Vocational Junior College,EMINENT COACHING CENTRE,3,3,2,5
263,Sri Chaitanya Junior College ,EMINENT COACHING CENTRE,2,2,3,5
264,Akshara High School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,3,3,2
265,Ashwamedha Junior College & Neet Medical Academy ,IGNITE ACADEMY,3,2,3,1
266,Akshra English Medium School,SAIMEDHA EDUCATIONAL INSTITUTE,4,2,4,4
267,Arunodaya High School,TALENTSPRINT PVT. LTD,1,1,5,3
268,Akshra English Medium School,MAHENDRA EDUCATIONAL PVT LTD,2,2,5,1
269,Academic Heights Public School - AHPS,KSRM COACHING CENTER,2,3,2,4
270,Anjali Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,2,4,4
271,Academic Heights Public School - AHPS,BHARATH DEFENCE COACHING CENTRE,3,3,5,4
272,Academic Heights Public School - AHPS,JB INSTITUTE FOR COMPETITVE EXAMS,3,4,4,1
273,Akshra English Medium School,TALENTSPRINT PVT. LTD,3,3,5,4
274,SDHR Junior & Degree & Pg College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,3,3,1
275,Sri Chaitanya Junior College ,EMINENT COACHING CENTRE,2,2,1,1
276,Academic Heights Public School - AHPS,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,1,1,1
277,S V Defence Academy,GURU SAI COACHING CENTER,4,2,2,3
278,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SAIMEDHA GATE COACHING CENTER,2,3,2,1
279,Akshra English Medium School,POORNASAI COACHING,4,4,5,5
280,SDHR Junior & Degree & Pg College ,JB INSTITUTE FOR COMPETITVE EXAMS,4,2,1,4
281,Akshra English Medium School,IGNITE ACADEMY,4,1,2,2
282,S V Defence Academy,KARTHIK INSTITUTE OF POLICE COACHING,4,2,3,6
283,Ashwamedha Junior College & Neet Medical Academy ,Sheker'S IAS Study Circle,3,1,1,3
284,S V Defence Academy,TALENTSPRINT PVT. LTD,2,2,3,4
285,Ashwamedha Junior College & Neet Medical Academy ,MY CAREER POINT,2,2,5,4
286,S V Defence Academy,ACADEMY OF MATHEMATICS AND STATISTICS,4,3,2,3
287,Sri Chaitanya Junior College ,BHARATH DEFENCE COACHING CENTRE,2,4,2,1
288,Accord School,SHINE IAS STUDY CIRCLE,3,2,1,5
289,Nri Academy,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,2,5,2
290,Narayana Junior College,TALENTSPRINT PVT. LTD,4,2,5,4
291,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SRI VISWAM COACHING CENTRE,4,1,3,5
292,Anjali Junior College,IGNITE ACADEMY,4,1,2,5
293,SDHR Junior & Degree & Pg College ,ACADEMY OF MATHEMATICS AND STATISTICS,2,1,1,6
294,Akshara High School,SRI VISWAM COACHING CENTRE,2,1,4,2
295,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,4,2,2
296,Anjali Junior College,CAREER LAUNCHER,4,3,3,3
297,Ashwamedha Junior College & Neet Medical Academy ,TALENTSPRINT PVT. LTD,3,1,1,4
298,Alpha Gamma Sigma Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,2,2,1,2
299,Ashwamedha Junior College & Neet Medical Academy ,SAIMEDHA EDUCATIONAL INSTITUTE,4,4,5,2
300,Nri Academy,SRI KRISHNAVENI COACHING CENTRE,3,4,3,6
301,Accord School,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,3,5,6
302,Arunodaya High School,DAMS SKY,2,3,5,2
303,Accord School,CAREER LAUNCHER,4,4,4,2
304,Akshara High School,NIIT,3,2,2,5
305,Akshra English Medium School,SHINE IAS STUDY CIRCLE,4,3,3,5
306,S V Defence Academy,ANALYST IAS ACADEMY,2,2,4,5
307,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,Sheker'S IAS Study Circle,2,4,2,2
308,Sri Chaitanya Junior College ,RADHAKRISHNA EDUCATIONAL INSTITUTES,1,4,5,4
309,Academic Heights Public School - AHPS,VIVEK COACHING CENTRE,4,3,5,1
310,Anu Vocational Junior College,BANKERS ADD,2,2,4,1
311,SDHR Junior & Degree & Pg College ,EMINENT COACHING CENTRE,1,3,5,1
312,Academic Heights Public School - AHPS,POORNASAI COACHING,4,1,3,4
313,Anu Vocational Junior College,MY CAREER POINT,3,3,3,4
314,SDHR Junior & Degree & Pg College ,SKILL WORLD COMPUTERS,1,1,2,3
315,Sri Chaitanya Junior College ,TALENTSPRINT PVT. LTD,2,3,4,5
316,Accord School,POORNASAI COACHING,3,2,1,6
317,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,BANKER'S ADDA,4,3,3,1
318,S V Defence Academy,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,1,1,5
319,Arunodaya High School,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,3,1,1,6
320,Alpha Gamma Sigma Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,1,3,2
321,Sri Chaitanya Junior College ,ANALYST IAS ACADEMY,1,1,5,6
322,Nri Academy,BHARATH DEFENCE COACHING CENTRE,4,3,4,3
323,Academic Heights Public School - AHPS,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,3,1,3
324,Alpha Gamma Sigma Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,4,1,4,5
325,Accord School,GURU SAI COACHING CENTER,3,2,2,4
326,Akshra English Medium School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,1,3,3
327,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SRI KRISHNAVENI COACHING CENTRE,4,1,1,5
